#Solar Radiation Research Laboratory (39.74 N,105.18 W) file for 13
# data obtained from ...
$state_name=N/A
$city_name=N/A
temperature,humidity,wind_speed,solar_dir,solar_diff,solar_global
01:01:04:03:00,14.972,0.807,0.0559,0.0,0.0,0.0
01:01:04:04:00,14.864,0.8059999999999999,0.3109,0.0,0.0,0.0
01:01:04:05:00,14.882,0.807,1.5838,0.0,0.0,0.0
01:01:04:06:00,14.846,0.8059999999999999,0.6219,0.0,0.0,0.0
01:01:04:07:00,14.774,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:08:00,14.666,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:09:00,14.594,0.8059999999999999,0.0559,0.0,0.0,0.0
01:01:04:10:00,14.522,0.8059999999999999,0.0,0.0,0.0,0.0
01:01:04:11:00,14.468,0.807,0.0,0.0,0.0,0.0
01:01:04:12:00,14.342,0.8079999999999999,0.34,0.0,0.0,0.0
01:01:04:13:00,14.306,0.809,1.3019,0.0,0.0,0.0
01:01:04:14:00,14.234,0.81,0.1141,0.0,0.0,0.0
01:01:04:15:00,14.144,0.809,0.0,0.0,0.0,0.0
01:01:04:16:00,14.126,0.812,0.0,0.0,0.0,0.0
01:01:04:17:00,14.09,0.818,0.0,0.0,0.0,0.0
01:01:04:18:00,14.126,0.8220000000000001,0.0,0.0,0.0,0.0
01:01:04:19:00,14.198,0.826,0.0,0.0,0.0,0.0
01:01:04:20:00,14.27,0.8270000000000001,0.0,0.0,0.0,0.0
01:01:04:21:00,14.36,0.83,0.0,0.0,0.0,0.0
01:01:04:22:00,14.468,0.83,0.0,0.0,0.0,0.0
01:01:04:23:00,14.54,0.8270000000000001,0.0,0.0,0.001693567,0.0
01:01:04:24:00,14.504,0.8220000000000001,0.0,0.0,0.0,0.0
01:01:04:25:00,14.432,0.816,0.0,0.0,0.0,0.0
01:01:04:26:00,14.306,0.81,2.4897,0.0,0.0,0.0
01:01:04:27:00,14.018,0.8059999999999999,4.1853,0.0,0.0,0.0
01:01:04:28:00,13.784,0.812,3.7603,0.0,0.003057896,0.0
01:01:04:29:00,13.55,0.816,4.2972,0.0,0.005086182,0.0
01:01:04:30:00,13.37,0.8270000000000001,4.2122,0.0,0.005348346,0.0
01:01:04:31:00,13.298,0.835,3.9594,0.0,0.004873627,0.0
01:01:04:32:00,13.334,0.843,3.9012,0.0,0.0043192,0.0
01:01:04:33:00,13.226,0.8440000000000001,5.0599,0.0,0.004208463,0.0
01:01:04:34:00,13.118,0.8440000000000001,6.1068,0.0,0.004797542,0.0
01:01:04:35:00,13.082,0.843,5.4559,0.0,0.004588796,0.0
01:01:04:36:00,13.046,0.835,5.4559,0.0,0.006346835,0.0
01:01:04:37:00,13.19,0.8220000000000001,5.259,0.0,0.006562363,0.0
01:01:04:38:00,13.442,0.807,5.0599,0.0,0.003184519,0.0
01:01:04:39:00,13.622,0.7944,4.834,0.0,0.0,0.0
01:01:04:40:00,13.82,0.7847,4.9749,0.0,0.0,0.0
01:01:04:41:00,14.036,0.7753,5.9368,0.0,0.0,0.0
01:01:04:42:00,14.306,0.7739,6.1068,0.0,0.0,0.0
01:01:04:43:00,14.63,0.7683,6.4737,0.0,0.0,0.0
01:01:04:44:00,14.882,0.7664,6.3328,0.0,0.0,0.0
01:01:04:45:00,15.17,0.7646999999999999,6.6705,0.0,0.0,0.0
01:01:04:46:00,15.278,0.7574,7.2656,0.0,0.0,0.0
01:01:04:47:00,15.26,0.7525,7.6615,0.0,0.0,0.0
01:01:04:48:00,15.224,0.7497,7.5765,0.0,0.0,0.0
01:01:04:49:00,15.224,0.7539,7.8584,0.0,0.0,0.0
01:01:04:50:00,15.188,0.7526,7.3774,0.0,0.0,0.0
01:01:04:51:00,15.152,0.7528,7.4356,0.0,0.0,0.0
01:01:04:52:00,15.152,0.763,6.9546,0.0,0.0,0.0
01:01:04:53:00,15.296,0.7692,6.2478,0.0,0.0,0.0
01:01:04:54:00,15.512,0.7739,5.5118,0.0,0.0,0.0
01:01:04:55:00,15.656,0.7746,5.259,0.0,0.0,0.0
01:01:04:56:00,15.8,0.7768,5.1181,0.001781079,0.0,0.0
01:01:04:57:00,15.854,0.7762,5.429,0.0,0.0,0.0
01:01:04:58:00,15.818,0.7652,5.57,0.0,0.0,0.0
01:01:04:59:00,15.26,0.7417,5.1181,0.0,0.0,0.0
01:01:05:00:00,14.576,0.7498,4.3262,0.0,0.0,0.0
01:01:05:01:00,14.108,0.7559999999999999,4.0153,0.0,0.0,0.0
01:01:05:02:00,13.784,0.7585,4.2412,0.0,0.00282351,0.0
01:01:05:03:00,13.586,0.7691,4.4672,0.0,0.006159177,0.0
01:01:05:04:00,13.496,0.7753,4.8072,0.0,0.006403504,0.0
01:01:05:05:00,13.388,0.7776000000000001,4.3822,0.0,0.006771202,0.0
01:01:05:06:00,13.172,0.7797,3.2234,0.0,0.008890623,0.0
01:01:05:07:00,13.064,0.7831,3.7603,0.0,0.009945595,0.0
01:01:05:08:00,13.208,0.7890999999999999,3.6194,0.0,0.009580034,0.0
01:01:05:09:00,13.442,0.7848,3.5634,0.0,0.004089923,0.0
01:01:05:10:00,13.532,0.774,4.2412,0.0,0.007240998,0.0
01:01:05:11:00,13.91,0.7743000000000001,4.0444,0.0,0.011398273,0.0
01:01:05:12:00,14.468,0.7673000000000001,4.1271,0.0,0.001385139,0.0
01:01:05:13:00,14.648,0.7503,3.9862,0.0,0.00228887,0.0
01:01:05:14:00,14.774,0.7505,4.6662,0.0,0.0,0.0
01:01:05:15:00,14.72,0.7381,5.429,0.0,0.0,0.0
01:01:05:16:00,14.54,0.7369,6.0218,0.0,0.0,0.0
01:01:05:17:00,14.432,0.7422,5.8518,0.0,0.0,0.0
01:01:05:18:00,14.36,0.7436,4.1003,0.0,0.0,0.0
01:01:05:19:00,14.306,0.7439,5.315,0.0,0.0,0.0
01:01:05:20:00,14.27,0.7494,6.1068,0.0,0.0,0.0
01:01:05:21:00,14.36,0.7509999999999999,6.0218,0.0,0.0,0.0
01:01:05:22:00,14.324,0.7498999999999999,6.4737,0.0,0.0,0.0
01:01:05:23:00,14.27,0.7542,7.0396,0.0,0.0,0.0
01:01:05:24:00,14.252,0.754,6.6437,0.0,0.0,0.0
01:01:05:25:00,14.162,0.7471,6.2478,0.0,0.0,0.0
01:01:05:26:00,13.802,0.7411,5.145,0.0,0.0,0.0
01:01:05:27:00,13.442,0.7426,5.2031,0.0,0.0,0.0
01:01:05:28:00,13.1,0.7473000000000001,5.2031,0.0,0.002749376,0.0
01:01:05:29:00,12.92,0.7506,4.8631,0.0,0.004529247,0.0
01:01:05:30:00,12.848,0.7526,4.4112,0.0,0.004955936,0.0
01:01:05:31:00,12.74,0.7534000000000001,4.4381,0.0,0.006680067,0.0
01:01:05:32:00,12.614,0.7545999999999999,5.315,0.0,0.006549078,0.0
01:01:05:33:00,12.56,0.7565999999999999,5.6818,0.0,0.007610832,0.0
01:01:05:34:00,12.506,0.7594,5.485,0.0,0.007848099,0.0
01:01:05:35:00,12.524,0.7605,4.7222,0.0,0.006630087,0.0
01:01:05:36:00,12.578,0.76,4.9749,0.0,0.004222491,0.0
01:01:05:37:00,12.632,0.7595999999999999,5.0331,0.0,0.001696726,0.0
01:01:05:38:00,12.704,0.7583,4.8072,0.0,8.58861E-4,0.0
01:01:05:39:00,12.812,0.7570999999999999,4.7222,0.0,0.0,0.0
01:01:05:40:00,12.956,0.7545000000000001,3.9012,0.0,0.0,0.0
01:01:05:41:00,12.992,0.7472,4.4962,0.0,0.0,0.0
01:01:05:42:00,13.028,0.7439,4.0153,0.0,0.0,0.0
01:01:05:43:00,12.974,0.7425,4.4672,0.0,0.0,0.0
01:01:05:44:00,12.902,0.7429000000000001,4.6931,0.0,0.0,0.0
01:01:05:45:00,12.848,0.7462000000000001,4.6081,0.0,0.0,0.0
01:01:05:46:00,12.938,0.7476,4.6662,0.0,0.0,0.0
01:01:05:47:00,13.046,0.7447,4.7781,0.0,0.0,0.0
01:01:05:48:00,13.01,0.7352,5.0331,0.0,0.0,0.0
01:01:05:49:00,12.866,0.7356,4.919,0.0,0.0,0.0
01:01:05:50:00,12.866,0.7395,4.8072,0.0,0.0,0.0
01:01:05:51:00,12.902,0.7445999999999999,4.5231,0.0,0.0,0.0
01:01:05:52:00,12.974,0.7532,4.6372,3.56179E-4,0.0,0.0
01:01:05:53:00,13.046,0.7506999999999999,4.6931,0.001068629,0.0,0.0
01:01:05:54:00,13.064,0.7474,4.6081,0.0,0.0,0.0
01:01:05:55:00,13.1,0.7454999999999999,4.7222,0.0,0.0,0.0
01:01:05:56:00,13.136,0.7397,4.6931,0.0,0.0,0.0
01:01:05:57:00,13.136,0.7363,4.8072,0.0,0.0,0.0
01:01:05:58:00,13.136,0.7397,4.9481,0.0,0.0,0.0
01:01:05:59:00,13.154,0.7458,5.1181,0.0,0.0,0.0
01:01:06:00:00,13.244,0.7589,4.9481,0.0,0.0,0.0
01:01:06:01:00,13.388,0.7686,5.2031,3.56179E-4,0.0,0.0
01:01:06:02:00,13.568,0.7665000000000001,4.8631,0.002493529,0.0,0.0
